observation_date,FEDFUNDS,CORESTICKM159SFRBATL,INDPRO,LAYOFFS,UNCERTAINTY
2/1/2022,0.08,4.30707,101.6766,9.162537967,143.2489035
3/1/2022,0.2,4.558423,102.478,18.86278634,156.4845912
4/1/2022,0.33,4.721803,102.7953,28.43692653,137.8100398
5/1/2022,0.77,4.985582,102.7769,30.57825101,123.2326977
6/1/2022,1.21,5.422337,102.6863,37.89615991,131.2337519
7/1/2022,1.68,5.625329,103.1328,43.21965172,144.7043566
8/1/2022,2.33,5.991705,103.2344,55.69443709,130.7217071
9/1/2022,2.56,6.392795,103.5283,33.39185159,130.1843692
10/1/2022,3.08,6.364809,103.4114,49.48733934,146.6348585
11/1/2022,3.78,6.471178,103.0707,41.06181207,149.195534
12/1/2022,4.1,6.617223,101.4848,40.30440887,133.8069936
1/1/2023,4.33,6.554492474,102.5478,45.05676222,165.4343976
2/1/2023,4.57,6.59375,102.5671,44.18487581,135.3361509
3/1/2023,4.65,6.451708317,102.6592,48.99457262,117.0124186
4/1/2023,4.83,6.322748661,103.1512,14.48360472,139.3394873
5/1/2023,5.06,6.000605583,102.924,42.05891875,176.0023846
6/1/2023,5.08,5.62652874,102.3002,28.83164078,123.6932864
7/1/2023,5.12,5.45608902,103.19,53.14028383,100.3196253
8/1/2023,5.33,5.217342854,103.2411,24.55682463,107.5309048
9/1/2023,5.33,5.008782387,103.3346,23.93824634,107.3418817
10/1/2023,5.33,4.931955814,102.4592,15.56096453,145.1915677
11/1/2023,5.33,4.730629444,102.4301,23.77099011,113.6713864
12/1/2023,5.33,4.584186077,102.484,21.45777694,127.6213998
